epoch,train_loss,train_dice,train_iou,train_acc,train_pre,train_rec,train_f1,val_loss,val_dice,val_iou,val_acc,val_pre,val_rec,val_f1
1,0.9468216647704443,0.05320172080149253,0.027780912754436334,0.1131779707968235,0.027758022428800662,0.8697906255722045,0.053736409979561965,0.9417089144388835,0.05877280235290527,0.030720865105589232,0.06318654293815294,0.03069086583952109,0.9392764091491699,0.05935301234324773
2,0.6404407560825348,0.3681945859144131,0.19233700837939977,0.6897669868543744,0.359669664191703,0.7295375004410743,0.3693933445339402,0.3048606355985006,0.7068350990613301,0.4612429062525431,0.979485285282135,0.6359792311986288,0.8112866004308065,0.7108422517776489
3,0.2471722056468328,0.7594643553098043,0.5153703863422076,0.9863883386055629,0.7555547907948494,0.7802080581585566,0.7634683459997177,0.20675171613693238,0.7993247628211975,0.5616367558638254,0.9877024571100871,0.7963433424631755,0.8113741795221965,0.8032614469528199
4,0.19820490380128225,0.80674862464269,0.5815168658892313,0.9891817331314087,0.7997232953707377,0.8272072354952494,0.8117783596118291,0.18834524949391682,0.8165096720059712,0.5873813072840373,0.9892894268035889,0.8488937695821126,0.7951794862747192,0.8207149902979533
5,0.1869742453098297,0.8170460333426793,0.6078352088729541,0.9898992041746776,0.8106518377860387,0.8400276690721512,0.8226578325033188,0.17807870308558146,0.8259391903877258,0.6211727023124695,0.9890956441561382,0.8003634572029114,0.8653327504793803,0.8313445369402568
6,0.17426790396372477,0.8291649917761484,0.6256553411483765,0.9904780785242716,0.8230173816283544,0.8514426201581955,0.8349914938211441,0.16496670643488567,0.8388919194539388,0.6341686089833577,0.9904863635698954,0.8547858595848083,0.8342223087946574,0.8441954572995504
7,0.1664378563563029,0.8369015365839004,0.6413710564374924,0.9910408546527226,0.8332103669643403,0.8568425277868906,0.8431377510229746,0.17422351042429607,0.8281006177266439,0.6401326338450114,0.9889464060465495,0.7747597098350525,0.9048056364059448,0.8344767212867736
8,0.15900468627611797,0.8441811422506968,0.655105373263359,0.9915021300315857,0.8400491416454315,0.8638560026884079,0.850779049595197,0.15935679276784262,0.8437624573707581,0.6492474754651387,0.9907483061154684,0.8536326169967652,0.8457432587941488,0.8495164195696513
9,0.15170295039812723,0.8514903992414474,0.6691223993897438,0.9919362952311833,0.8484052310387293,0.8707574913899104,0.8584722181161245,0.15441901683807374,0.8488244454065959,0.658407207330068,0.9912224570910136,0.8727624257405598,0.8374599099159241,0.854591445128123
10,0.14583458205064137,0.8573585699001948,0.6799035718043646,0.992345376809438,0.8563997119665145,0.8745296974976857,0.8646043022473653,0.14845142364501954,0.8546571095784505,0.671883229414622,0.9915355841318766,0.8739166299502055,0.8485293865203858,0.8608763655026753
11,0.14074910779794056,0.8623785942792892,0.6857072293758393,0.9925733268260956,0.8629889577627182,0.8782804091771443,0.869837670524915,0.14609343608220418,0.8567960421244304,0.6799970865249634,0.9915656169255574,0.8630461613337199,0.8647769212722778,0.8637466152509053
12,0.13580921192963918,0.8673997988303502,0.6947894583145777,0.9928625265757243,0.8680414666732152,0.8830189953247706,0.8750786642233531,0.14231690565745037,0.8606440464655558,0.6846564968427022,0.9917853395144145,0.8648624420166016,0.8702775319417317,0.8674768726030986
13,0.13603873352209728,0.8671458264191946,0.697473215063413,0.9929187258084615,0.8665996919075648,0.8845087220271428,0.8749760955572128,0.14247165520985922,0.8604208747545878,0.6859853863716125,0.9917374690373738,0.8613558212916056,0.8735346635182698,0.8673124631245931
14,0.13519937495390574,0.867950368920962,0.6990864257017771,0.9929502417643865,0.8666606942812601,0.8861322323481242,0.8758165955543518,0.1425964911778768,0.8603448669115702,0.6859190464019775,0.9917683680852254,0.8649438063303629,0.8696846485137939,0.8672120531400045
15,0.1348009099562963,0.8684506754080454,0.6985792636871337,0.9929444213708242,0.867407301068306,0.8861255864302318,0.8763116836547852,0.14217487176259358,0.8607768376668294,0.6865590254465739,0.9917769352595012,0.863037383556366,0.8725594282150269,0.8676822423934937
16,0.13599506517251334,0.867238113284111,0.6995168666044871,0.9929454644521077,0.867765040198962,0.8835098773241044,0.8751663625240326,0.1422771135965983,0.860763164361318,0.6852944453557333,0.991794220606486,0.8652486642201741,0.8701650460561117,0.8676125486691793
17,0.13487175901730855,0.8684046785036723,0.6989395459493001,0.9929806917905808,0.8695234656333923,0.8838130474090576,0.8762970785299937,0.14312574068705242,0.8598846554756164,0.6828151305516561,0.991799779733022,0.8718237201372783,0.8615886012713114,0.8665716409683227
18,0.13643033703168234,0.8667858868837357,0.6982722500960032,0.9929504861434301,0.8665478944778442,0.8840423802534739,0.8747315069039663,0.14220283031463624,0.8607848405838012,0.6858450253804524,0.9917700330416361,0.8624526341756185,0.8731282671292623,0.8676661292711894
19,0.13507985870043437,0.8681852281093597,0.6991672853628794,0.9929687450329463,0.8671206345160802,0.8859817405541738,0.8761086473862331,0.14230555295944214,0.8606807549794515,0.6859056075414022,0.9917856256167094,0.8647910833358765,0.8705052057902019,0.8675475279490154
20,0.13577570418516796,0.8674004306395848,0.6985311706860861,0.9929489552974701,0.8678290615479152,0.8837004880110423,0.8752322236696879,0.1424049774805705,0.8605610092480978,0.6852407733599345,0.9918013095855713,0.8673348585764568,0.867609425385793,0.8673777540524801
21,0.13515677452087402,0.868162852525711,0.6996194124221802,0.9929693510135015,0.8669275184472401,0.8862033694982528,0.8761117537816365,0.14214872121810912,0.8608673850695292,0.686011266708374,0.9917998393376668,0.8650596777598063,0.8706392923990885,0.8677495161692301
22,0.13511441747347513,0.868167961637179,0.6983325839042663,0.9929680218299229,0.8684685985247295,0.884142721692721,0.8759975264469783,0.14242504437764486,0.8605626424153646,0.685991903146108,0.9917848666508993,0.8654374082883199,0.8696239749590556,0.8674277742703755
23,0.13492523928483327,0.868364808956782,0.6995825032393138,0.9929868916670481,0.8681352327267329,0.8854719360669454,0.8763626873493194,0.14228758811950684,0.8606949249903361,0.6866472601890564,0.9917754292488098,0.8635956962903341,0.8718449711799622,0.8676035602887472
24,0.134700678785642,0.868567039569219,0.6983560860157013,0.9929807722568512,0.8708706478277842,0.8827062259117763,0.8763593395551046,0.14233516852060954,0.8606249729792277,0.6858279863993327,0.9917767326037089,0.8641391317049663,0.8710737466812134,0.8675021489461263
25,0.13604759375254313,0.8672155539194742,0.6986008127530415,0.9929468482732773,0.8659013311068217,0.885474384824435,0.8751641909281412,0.14251367648442587,0.8605063319206238,0.6850402553876241,0.9917958776156107,0.8667748928070068,0.8681524197260538,0.8673664331436157
26,0.13375645875930786,0.869500317176183,0.6986502746740977,0.9929780473311742,0.8707347691059113,0.8847187131643295,0.8772912144660949,0.14195310274759929,0.8610405007998149,0.6869176030158997,0.9917784810066224,0.8613973776499431,0.8748547712961833,0.8679828961690267
27,0.13492902318636577,0.8683232824007671,0.6991788854201635,0.9929962108532587,0.8694999357064565,0.8837407529354095,0.8762482583522797,0.14225172599156696,0.8607178171475728,0.6866671244303385,0.9917771895726522,0.8636833429336548,0.8717912077903748,0.8676209529240926
28,0.13497349520524343,0.8683387617270152,0.6982386986414592,0.9929850598176321,0.8696425894896189,0.8836821138858795,0.87617982228597,0.14213580290476482,0.8607785741488139,0.6868011395136515,0.9917486985524495,0.8597258607546489,0.8760953625043233,0.8677440802256267
29,0.13546564082304638,0.86781620879968,0.698053573568662,0.9929833243290583,0.8689815233151118,0.8832969884077708,0.8756812393665314,0.14281465609868368,0.86014297803243,0.6839162071545919,0.9918081482251485,0.8709569096565246,0.863024365901947,0.8668720165888468
30,0.1375625401735306,0.8657279819250107,0.6980363388856252,0.9929640342791876,0.8670309801896413,0.8814850350220998,0.8737234165271123,0.14207992156346638,0.8608824094136556,0.6869244694709777,0.9917650103569031,0.8614574829737346,0.8743765592575073,0.8677776455879211
31,0.13437722126642862,0.8689155946175258,0.698202500740687,0.9929939458767573,0.8701196471850078,0.8840567876895269,0.8767249266306559,0.14234489997227986,0.8606602271397908,0.686361022790273,0.9917935570081075,0.8658013979593913,0.8694688200950622,0.8675363461176554
32,0.13529375990231832,0.8680093069871266,0.6981356620788575,0.9929856846729914,0.8689613630374272,0.883663801352183,0.8759179393450419,0.14216330448786418,0.8607971986134847,0.6863708893458048,0.991801385084788,0.8655993183453877,0.8699647426605225,0.8676860054334005
33,0.1355886548757553,0.8676624685525894,0.699147516489029,0.9929638057947159,0.867798368136088,0.8843574454387029,0.8755668550729752,0.14211136102676392,0.8608450531959534,0.6870823423067729,0.9917952179908752,0.8642569224039713,0.8715253233909607,0.8677857875823974
34,0.13612415194511412,0.8671052535374959,0.6976395815610885,0.992950713634491,0.8686253388722738,0.8822426875432332,0.8749772777160009,0.14232057730356854,0.8606623371442159,0.6849164366722107,0.9918221354484558,0.8687149961789449,0.8665109356244405,0.8675195256868998
35,0.13537047803401947,0.8678759386142095,0.6978003044923147,0.9929560899734498,0.8671274602413177,0.885525197784106,0.8758278320233027,0.1426383097966512,0.8604443033536275,0.683983314037323,0.9918302257855733,0.8715636928876241,0.8630528569221496,0.8671863238016765
36,0.13649777074654898,0.8667356024185816,0.6983031431833903,0.9929368625084559,0.8655722806851069,0.8847471952438355,0.8746469994386037,0.14239721298217772,0.8606800715128581,0.6846751650174459,0.9918362577756246,0.8707999308904012,0.8642855246861776,0.86743719180425
37,0.1350043833255768,0.8682424197594325,0.6980839798847834,0.993011157711347,0.8694298615058264,0.8834024320046107,0.876108373204867,0.1424752672513326,0.8604424238204956,0.6855947335561117,0.9917838931083679,0.8658096273740132,0.8690040985743205,0.8673068404197692
38,0.1342096636692683,0.8690295835336049,0.6985708812872569,0.9929701099793117,0.8693144202232361,0.8851980437835058,0.8768150389194489,0.14226672252019246,0.8607488552729289,0.6856372793515523,0.9918054620424906,0.8664718111356099,0.868973704179128,0.8676282842954
39,0.1360894997914632,0.8671820203463236,0.6983973433574041,0.9929559787114461,0.8670055449008942,0.8842952857414882,0.8750874708096187,0.1422884464263916,0.8607236266136169,0.6856645107269287,0.9918070276578267,0.8668553868929545,0.8684688766797384,0.8675686478614807
