epoch,train_loss,train_dice,train_iou,train_acc,train_pre,train_rec,train_f1,val_loss,val_dice,val_iou,val_acc,val_pre,val_rec,val_f1
1,0.8996729999780655,0.10634810186456889,0.05398923420580104,0.6847070355766586,0.06400776895627912,0.3394874796005232,0.10719610783936721,0.8990543596446514,0.10677435069477983,0.054438463312440684,0.6820151470601559,0.06433943067012089,0.3399864850299699,0.10761491089527096
2,0.3265630903520754,0.6822268105211801,0.4791078183001706,0.956892907220338,0.6518949250457808,0.7475415777548083,0.6844345992431045,0.2585976773074695,0.7427886612713337,0.5394435697900397,0.9720133074692318,0.758956966655595,0.7334868311882019,0.7444516973836082
3,0.24588661082088947,0.754893096429961,0.5639047141053847,0.9724010472585048,0.7393611949602408,0.7835497311981661,0.7573154589959553,0.22367142087646893,0.7769583873450756,0.5891870316118002,0.9742050852094378,0.745415194758347,0.8186517682458673,0.77949059009552
4,0.22232198728514568,0.7782193044466632,0.5942095874675682,0.9752612159188304,0.7654249749279448,0.8021930155477354,0.7807653083332947,0.22012036879147803,0.7802712214844567,0.5955239294895104,0.9732792952230999,0.7147577660424369,0.8687067734343665,0.7836751570659024
5,0.2064450459022607,0.7940117442714316,0.6157356739443328,0.9770932617996421,0.7825023522600532,0.8158263693164501,0.7966357840757284,0.2015589629965169,0.7988523340650967,0.6097863433616502,0.9774075320788792,0.7850564782108579,0.8201699049345085,0.8015391225261348
6,0.192757855036429,0.8076443130682621,0.6331970779491323,0.9786660173641784,0.7970946314079421,0.8278051371287022,0.8102925140410662,0.1908873591039862,0.809475378798587,0.6333706810006073,0.9785863996616432,0.7957665542406696,0.829815707036427,0.8119128740259579
7,0.18368994936879193,0.8166893143206835,0.6458244893832931,0.9797596886221852,0.8070187185491834,0.8351335838170988,0.8193494986210551,0.18701289274862834,0.8133728823491505,0.6317870265671185,0.9796450579805034,0.8203935639134475,0.8129168104912553,0.8159920083624976
8,0.17283140096281255,0.8275102004408836,0.6619608101568052,0.9810136073668089,0.8189400119174804,0.8442979617310422,0.8302091717986124,0.18105752925787652,0.8192996292241982,0.6377600375562906,0.9806093360696521,0.8412362188100815,0.8034639773624284,0.8213803289192063
9,0.16426193208566733,0.8360695967982922,0.6758084463487778,0.9820985164759415,0.8290364718330758,0.8510900568217039,0.8388061451592616,0.17000884775604522,0.8303086177578994,0.6540088376828602,0.9816619402595929,0.8455745157386575,0.8207234075026852,0.8323511789952006
10,0.15252085043383495,0.8477839323292885,0.6925773020567638,0.9833764887547919,0.8413293068962437,0.8616384525916406,0.8505864247147527,0.1628962026110717,0.837416526994535,0.6697099331234183,0.982785993388721,0.8697519738759313,0.8126014247536659,0.8397677381123815
11,0.14405792765319347,0.856244947362159,0.706358568210687,0.9844003905143056,0.8513207145567451,0.8684624583859529,0.8591233880392143,0.1530433281191758,0.8472514583596161,0.6907853787498814,0.9835473905716624,0.8608452858669418,0.8396559022367001,0.8498127652066094
12,0.1344633468293718,0.865840796248189,0.7220534465408751,0.9854716074519924,0.8624590632638761,0.8762122552309718,0.8687643323625837,0.14439865787114417,0.8558664236749921,0.7037287796182292,0.9841649511030742,0.8504087871738842,0.8677928516907352,0.8587166954364095
13,0.1296669670513698,0.8706343888438174,0.7308795440143773,0.9859695519719806,0.8622554309133973,0.8864708045231444,0.8737413372312274,0.14301565662026405,0.857240618871791,0.7078339111592088,0.984324404171535,0.8515949584543705,0.8694377440427031,0.860148907239948
14,0.12940067891031504,0.8709043696788805,0.7308447971673948,0.9860274864892874,0.8649736017520938,0.8840144707688263,0.8739726397075823,0.14272545597382955,0.8575536124408245,0.7084226310253143,0.9844253441052777,0.8554291139755931,0.8660416980939252,0.8604262332831111
15,0.1291505979107959,0.8711587355605194,0.7321710547964487,0.9861040104712758,0.8660484327535544,0.8833165698285613,0.8742219603487423,0.14263970032334328,0.8576255158654281,0.7085803214992795,0.984416871198586,0.8545118251017162,0.8671576912914004,0.8605140766927174
16,0.12894804922065564,0.8713477372324893,0.7320691078369107,0.9860909816675952,0.8665281147030848,0.8832402463470187,0.874385987142367,0.1425726232784135,0.8576980722802026,0.7079329522592681,0.9844978169671127,0.8586615462388311,0.8629625242735658,0.8605225080890315
17,0.12845138287437813,0.8718543938760247,0.7320667020976543,0.986126243003777,0.867971716980849,0.8827900725549885,0.8749196351106677,0.14245783537626266,0.8578100789870534,0.708725955337286,0.9844458369272095,0.8550738325076443,0.8669875540903637,0.8607132488063404
18,0.12893981406731264,0.8713665854718003,0.7322795509493777,0.9861193916627339,0.8674935480313641,0.8823574471420476,0.8744217893108726,0.14223207107612065,0.8580288807196277,0.7088037292872157,0.9845323030437741,0.8586953713425568,0.8636368209762233,0.860881186489548
19,0.1279641089162656,0.8723293373893414,0.732292345991092,0.9861466548006449,0.868782637906926,0.8828311436144369,0.8753524486507688,0.1422766319343022,0.857982194849423,0.7089662291109562,0.9845063505428178,0.8575408650296075,0.8647374281925815,0.8608465492725372
20,0.12841038512332098,0.87188509040113,0.731543875033302,0.9861140296395335,0.8685837706018772,0.8821965157985687,0.8749030993453094,0.14213126684938157,0.85812519756811,0.7089670108897346,0.9845425571714129,0.8587611365531173,0.8637699133583477,0.8609784298709461
21,0.12881944168891227,0.87148072956396,0.7321634949850184,0.9861314548179507,0.8686606483533978,0.8813136032383356,0.874547246178346,0.14219332220298903,0.8580735778169972,0.7088706770113536,0.98453460420881,0.8586070463061333,0.8638396156685693,0.8609326290232795
