epoch,train_loss,train_dice,train_iou,train_acc,train_pre,train_rec,train_f1,val_loss,val_dice,val_iou,val_acc,val_pre,val_rec,val_f1
1,0.9510186958794642,0.0494802694278534,0.025217785794752014,0.11383127902794365,0.02576515099240674,0.8895218631233832,0.04955319532817261,0.9733387764294942,0.02706245854496956,0.013729287274181844,0.01583320303509633,0.013735176287591458,0.9965479818979899,0.027095926329493522
2,0.9375368172070796,0.06449896977706389,0.029668774041864607,0.24320111511532305,0.033934135454070286,0.9293148666118531,0.06468900962911471,0.967914654413859,0.05318224231402079,0.030014302358031274,0.6145829304059347,0.027591113423307737,0.7871635953585306,0.053308277974526086
3,0.8273700997484252,0.25229793571261844,0.06448600418639905,0.8973911480871515,0.1910209258146559,0.567450554483266,0.2527632993780804,0.8680689883232117,0.16762313842773438,0.07833416044712066,0.9617791374524435,0.12127359310785929,0.2852031807104746,0.16773688077926635
4,0.6389521577141501,0.3853661373809532,0.19395498545081527,0.9642883980715716,0.3846922855987292,0.47403878455210213,0.38578414786544313,0.6757292016347249,0.38037514289220176,0.23934349377950032,0.9673654818534851,0.25851247310638426,0.7277627642949422,0.3807832038402557
5,0.5342634089466699,0.4767407977621162,0.32096628919996395,0.9728603908911297,0.4788207775013214,0.5313211581120989,0.4774209203744175,0.5211616436640422,0.4898923941453298,0.30608720898628233,0.9821846167246501,0.404969535668691,0.6269231096903483,0.49050683617591856
6,0.5086397815633703,0.4997138859647693,0.3581257293922733,0.9734816372595251,0.4904987001258516,0.550904492236147,0.5005472256278349,0.46959250688552856,0.5409536751111349,0.3664505358537038,0.9849505043029785,0.4644928725560506,0.6529917740821838,0.5423415931065877
7,0.49694622325576115,0.5095540046290516,0.3704732966543448,0.9745683527554727,0.5135292196113252,0.5604883008934431,0.5104007435968829,0.4968325146039327,0.5228488365809123,0.359869978427887,0.9848130075136821,0.46018970807393395,0.6130161348978679,0.5246181257565816
8,0.4933296991919829,0.5120238393846185,0.38049888580736485,0.974621882743707,0.5157838907306042,0.5529743340681699,0.5129422260454608,0.42842642625172933,0.5760301605860392,0.3917306164900462,0.9878454256057739,0.5519429953893026,0.6100762637456258,0.5779339750607808
9,0.40122631382861923,0.6053552141896,0.40020226318426805,0.9795206122928195,0.572919900268818,0.6768552941906734,0.6067494549333848,0.45017938057581586,0.5579748813311259,0.3954812467098236,0.9878551944096883,0.5573487544059753,0.5643197623888652,0.5598557464281718
10,0.34665388932533137,0.6587817552515152,0.42792746264123754,0.9828962304375388,0.6232311354341732,0.7155603013857447,0.660665710165043,0.4491053994496663,0.5566192491849263,0.38981818556785586,0.9859261616071066,0.4929643448193868,0.650647402604421,0.5584237305323283
