epoch,train_loss,train_dice,train_iou,train_acc,train_pre,train_rec,train_f1,val_loss,val_dice,val_iou,val_acc,val_pre,val_rec,val_f1
1,0.944886630276839,0.055153823690488935,0.02861730536290755,0.4658409727116426,0.029477754111091294,0.5485389823714892,0.05574975130148232,0.9399798651536305,0.06838650318483512,0.03577106073498726,0.3678325116634369,0.03630916581799586,0.7425214529037476,0.06901960968971252
2,0.49568056166172025,0.5326801137067377,0.3722620332924028,0.9080887506405513,0.49386479213523365,0.7764420829713344,0.5367443232486645,0.9999543031056722,0.0,2.962502530327408e-10,0.9684849202632904,0.0,0.0,0.0
3,0.28370251605908076,0.7182023574908575,0.5354216252764066,0.9841244871417681,0.7166415979464849,0.7523466271658739,0.7241808498899142,0.9999581197897593,0.0,2.962502530327408e-10,0.9684849202632904,0.0,0.0,0.0
4,0.2677240679661433,0.7333896207312743,0.5553529523313046,0.9851370130976042,0.7373900244633357,0.7637118657430013,0.7398195256789525,0.5342540085315705,0.4662412961324056,0.269209590057532,0.9776004036267598,0.93976531624794,0.3162373716632525,0.4661045332749685
5,0.2439906229575475,0.7568263227740923,0.5818382906417052,0.986474464337031,0.7592068667213122,0.7846254236996174,0.7637808014949162,0.25075432658195496,0.7497763832410177,0.5700328191121419,0.9837768316268921,0.7174164394537608,0.816459180911382,0.7554858148097991
6,0.21961825489997863,0.7811310395598412,0.610691990951697,0.9879307900865872,0.7871744727094968,0.8021978346010049,0.788507516682148,0.2762766083081563,0.724419359366099,0.5724035153786341,0.9853460252285003,0.8763986269632975,0.6384140113989513,0.7302726129690806
7,0.22420465697844824,0.7765274599194527,0.6071084884305795,0.9877306664983432,0.784983770052592,0.801876762509346,0.7840707287192344,0.2609500249226888,0.7399255096912384,0.5730336864789327,0.9832040627797445,0.7134154299894969,0.8030315111080806,0.7465672075748444
8,0.21461250285307568,0.785967992246151,0.621009003619353,0.9884364008903503,0.7965968810021877,0.8067166017989318,0.7938129474719365,0.25342684984207153,0.7474506159623464,0.572569164633751,0.9831089834372203,0.6945964912573497,0.8436008671919505,0.7542198677857717
9,0.19271831562121708,0.8078793317079545,0.6432428454359372,0.9895242974162102,0.8141604622205099,0.82647500410676,0.8159233609835307,0.5503771464029948,0.44958755920330684,0.36346802314122517,0.9770247777303059,0.9247836530208587,0.3082207416494687,0.45372917304436367
10,0.18051787515481313,0.820103365679582,0.6634100000063579,0.9903744031985601,0.8281107301513354,0.8387968495488167,0.8286105384429295,0.23969565828641257,0.7610299487908682,0.6235014329353968,0.987086933851242,0.8967367887496949,0.6835667967796326,0.7680324931939443
11,0.17001392394304277,0.8305497512221336,0.67681971291701,0.9909130662679673,0.8375331034262975,0.8492961898446083,0.8393022790551186,0.20883622964223225,0.7923596878846486,0.6582022925217946,0.9870500445365906,0.8234162906805674,0.7986801028251648,0.8004925608634949
12,0.15843623131513596,0.8421669319272042,0.6927071789900462,0.991636656721433,0.8503664364417394,0.8581966792543729,0.8511039773623149,0.258717292547226,0.7419439852237701,0.603786027431488,0.9864645739396413,0.9235943039258321,0.6376037577788035,0.7478451987107595
13,0.15604941944281261,0.8446497390667598,0.6925682949523131,0.9918099860350291,0.8494073614478111,0.8634047985076905,0.8534690077106158,0.17160888115564982,0.8290469765663147,0.679291566212972,0.9901678721110027,0.8761495590209961,0.8051489730676015,0.8367577970027924
14,0.1572032203276952,0.8434791063268979,0.6913022244970004,0.9917302310466767,0.8468524431188901,0.8642846882343292,0.8524008229374885,0.1861162006855011,0.8148345748583475,0.6767911493778229,0.9885034958521525,0.8247054378191631,0.8324186722437541,0.8227538963158926
