epoch,train_loss,train_dice,train_iou,train_acc,train_pre,train_rec,train_f1,val_loss,val_dice,val_iou,val_acc,val_pre,val_rec,val_f1
1,0.948211579521497,0.04973260213931401,0.02553219422698021,0.24915587281187376,0.026091919746249914,0.687730218966802,0.05022892231742541,0.943448003133138,0.05482066522041957,0.028213229030370712,0.24969300627708435,0.02888531101246675,0.6982789556185405,0.05538190826773644
2,0.7857336729764939,0.2813264646877845,0.17584799757848182,0.6721014010409514,0.2115770167981585,0.8925731817881266,0.2835459142923355,0.40951768557230633,0.6252307693163554,0.41117485562960304,0.9672762592633565,0.4881523569424947,0.8968849579493204,0.629591989517212
3,0.24092084964116414,0.762906598051389,0.5502347220977147,0.9864961137374242,0.7614727516969045,0.7908722301324208,0.7684075216452281,0.19322280089060465,0.8082046310106913,0.6201023578643798,0.9878297448158264,0.7753116766611735,0.8585873484611511,0.8143433133761088
4,0.19780359864234925,0.8034802695115407,0.6179145375887553,0.9890469819307327,0.8023391077915828,0.8270525813102723,0.8104150354862213,0.2021206776301066,0.7991028070449829,0.6412943919499715,0.9873437881469727,0.7765971104303996,0.8438021222750346,0.8061907688776652
5,0.1840908000866572,0.816980250676473,0.643250065545241,0.9899663865566254,0.8164376596609751,0.8433175921440125,0.8245110760132471,0.16217251618703207,0.8389559904734294,0.6749433437983196,0.9904744227727255,0.8453322291374207,0.8485831538836162,0.846606190999349
6,0.15621071954568228,0.8446959028641383,0.6802716135978699,0.9915880521138509,0.8459262718756994,0.8643904566764832,0.852929699420929,0.15085692008336385,0.8500359058380127,0.6898572564125061,0.9912764231363932,0.8720069169998169,0.8450664361317952,0.8576754132906595
7,0.14632052580515545,0.8545173952976862,0.6998358259598414,0.9921531051397323,0.8555243114630381,0.8746979624032974,0.8633070727189381,0.1414437492688497,0.8594668467839559,0.7082696000734965,0.99168275197347,0.8541238705317179,0.8826542576154073,0.8678757985432942
8,0.14155689378579459,0.8592658718427022,0.7085343132416407,0.992521999279658,0.8624497016270956,0.8780810256799062,0.8683929165204366,0.13490379651387532,0.8658494075139364,0.7128905852635702,0.9921462814013163,0.8672137935956319,0.8819343725840251,0.8742942372957866
9,0.12847338517506918,0.8723336189985276,0.7283634026845296,0.9932723641395569,0.8769220739603043,0.8893144657214482,0.8820638825496038,0.1287995139757792,0.8719778974850972,0.7314592639605204,0.9925527969996134,0.8683430194854737,0.8948570092519125,0.8811645944913228
10,0.1203524887561798,0.8804326166709264,0.7420998523632686,0.9937758326530457,0.8855017026265463,0.897450311978658,0.8905748198429744,0.12955302000045776,0.8712426821390787,0.721492604414622,0.9927950819333394,0.912902311484019,0.849069352944692,0.8796832640965779
11,0.11586823463439941,0.8848962267239888,0.7497362265984218,0.9940504789352417,0.8918886591990789,0.9002273519833882,0.8953458627065023,0.12163541714350383,0.8791096925735473,0.7451833446820577,0.9931302030881246,0.8900653878847758,0.8879403154055278,0.8888663331667582
12,0.11187693675359091,0.8888895124197006,0.7579427202542622,0.9943179448445638,0.8964694410562515,0.9041467020908992,0.8997265328963597,0.11875905195871989,0.8819549878438314,0.75010879834493,0.9932504296302795,0.884400200843811,0.8999896128972371,0.8920311848322551
